Timestamp,study_id,pesticide_target_class ,pesticide_chemical_class,pesticide_investigated ,pesticide_interaction,pesticide_interaction_with_pesticide,pesticide_interaction_with_other,pesticide_comment
30/01/2023 8:58,s_001,insecticide,"organochlorine, organophosphate","DDT, chlorpyrifos",No,NA,NA,
30/01/2023 9:15,s_002,fungicide,triazole,tebuconazole,NA,NA,NA,
30/01/2023 9:32,s_003,"insecticide, fungicide","phenylpyrazole, strobilurin","fipronil, pyraclostrobin",Yes,mixture of fipronil and pyraclostrobin ,NA,
30/01/2023 9:44,s_004,herbicide,"phenylurea, triazine ","atrazine, diuron",No,NA,NA,
30/01/2023 13:53,s_005,insecticide,"organochlorine, organophosphate","DDT, chlorpyrifos",Yes,mixture of DDT and chlorpyrifos ,NA,
30/01/2023 14:53,s_006,insecticide,pyridine ,pyriproxyfen,NA,NA,NA,
30/01/2023 15:10,s_007,insecticide,phenylpyrazole,firpronil,NA,NA,NA,
30/01/2023 15:14,s_008,insecticide,organochlorine,endosulfan,NA,NA,NA,
30/01/2023 15:21,s_009,insecticide,pyrethroid,deltamethrin,NA,NA,NA,
30/01/2023 15:29,s_010,insecticide,pyrethroid,cypermethrin ,NA,NA,NA,
30/01/2023 15:37,s_011,fungicide,triazole,paclobutrazol,NA,NA,NA,
30/01/2023 15:45,s_012,insecticide,pyrethroid,deltamethrin,NA,NA,NA,
30/01/2023 15:53,s_013,herbicide,viologen,paraquat,NA,NA,NA,
30/01/2023 16:00,s_014,herbicide,organophosphate,glyphosate,NA,NA,NA,
13/02/2023 11:38,s_015,herbicide,"organophosphate, monochlorobenzenes, auxin, chlorophenoxy","2,4-D, glyphosate, mecoprop, dicamba",Yes,"mixture of 2,4-D, dicamba, glyphosate, and mecoprop",,
30/01/2023 16:18,s_016,insecticide,pyrethroid,permethrin,NA,NA,NA,
30/01/2023 16:38,s_017,insecticide,carbamate,carbaryl,NA,NA,NA,
31/01/2023 8:59,s_018,fungicide,triazole,triadimefon,NA,NA,NA,
31/01/2023 9:09,s_019,insecticide,organophosphate,chlorpyrifos,Yes,NA,mixutre of chlorpyrifos and copper,
31/01/2023 9:23,s_020,herbicide,organophosphate,glyphosate ,NA,NA,NA,
31/01/2023 9:33,s_021,"insecticide, herbicide",rotenones,rotenone ,NA,NA,NA,
31/01/2023 9:48,s_022,insecticide,neonicotinoid,imidacloprid,NA,NA,NA,
31/01/2023 9:57,s_023,insecticide,organophosphate,chlorpyrifos,NA,NA,NA,
31/01/2023 10:10,s_024,herbicide,chlorophenoxyacetic acid ,"2,4-D",NA,NA,NA,
,s_025,herbicide,organophosphate,paraquat,NA,NA,NA,
31/01/2023 10:16,s_026,herbicide,monochlorobenzenes,boscalid ,NA,NA,NA,
31/01/2023 10:25,s_027,insecticide,organophosphate,chlorpyrifos,NA,NA,NA,
31/01/2023 10:40,s_028,"insecticide, herbicide",rotenones,rotenone,NA,NA,NA,
31/01/2023 10:50,s_029,"insecticide, herbicide",rotenones,rotenone ,NA,NA,NA,
31/01/2023 11:28,s_030,"insecticide, herbicide",rotenones ,rotenone ,NA,NA,NA,
31/01/2023 11:33,s_031,insecticide,organophosphate,monocrotophos,NA,NA,NA,
31/01/2023 11:40,s_032,"insecticide, herbicide",rotenones,rotenone ,NA,NA,NA,
31/01/2023 11:48,s_033,herbicide,triazine ,atrazine,NA,NA,NA,
31/01/2023 13:21,s_034,"insecticide, herbicide","phenylpyrazole, chlorophenoxy","fipronil, 2,4-D",No,NA,NA,
31/01/2023 13:38,s_035,fungicide,triazole,propiconazole,NA,NA,NA,
01/02/2023 9:56,s_036,"insecticide, herbicide","organophosphate, phenylurea, pyrethroid ","chlorpyrifos, linuron, permethrin ",No,NA,NA,
01/02/2023 10:06,s_037,"insecticide, herbicide","organophosphate, phenylpyrazole","glyphosate, fipronil ",Yes,mixture of firponil and glyphosate ,NA,
01/02/2023 10:14,s_038,insecticide,pyrethroid ,deltamethrin ,NA,NA,NA,
01/02/2023 10:32,s_039,"insecticide, herbicide","triazine, pyrethroid ","deltamethrin, atrazine ",No,NA,NA,
01/02/2023 10:43,s_040,"herbicide, fungicide ","organophosphate, triazine, triazole","glyphosate, atrazine, tebuconazole",No,NA,NA,
01/02/2023 13:06,s_041,fungicide,triazole ,tebuconazole ,NA,NA,NA,
01/02/2023 14:06,s_042,fungicide,triazole,difenoconazole,NA,NA,NA,
01/02/2023 14:16,s_043,insecticide,organophosphate,chlorpyrifos,NA,NA,NA,
