,study_id,study_type,life_stage_exposure ,life_stage_behaviour ,sex,sample_size,sample_size_comment ,
30/01/2023 9:01,s_001,experimental,adult,adult,mixed,10,There were 10 fish per treatment group,
30/01/2023 9:16,s_002,experimental,adult ,adult,not reported ,40,NA,
30/01/2023 9:27,s_003,experimental,adult,adult,mixed,42,There were 14-16 fish per tank with 3 replicate tanks ,
30/01/2023 9:40,s_004,experimental,adult,adult,mixed,18,There were 6 fish per treatment with 3 replicate tanks ,
30/01/2023 13:52,s_005,experimental,adult,adult,mixed,8,There are 4 fish per treatment with 2 replicate tanks ,
30/01/2023 14:50,s_006,experimental,adult,adult,mixed,14.5,"Averaged across a series of behaviours: locomotion N = 15-21, line crossing N= 16-20, aggression N = 14-15, social interaction 13-15",
30/01/2023 15:09,s_007,experimental,adult,adult,mixed,11,"Averaged across a series of behaviours: locomotion N = 10 per group, light and dark test N=12 per group. ",
30/01/2023 15:15,s_008,experimental,adult,adult,not reported ,19,"Averaged across a series of behaviours: locomotion N= 16, long-term memory test N=22 ",
30/01/2023 15:21,s_009,experimental,adult,adult,female,24,There were 8 fish per treatment group with 3 replicate tanks ,
30/01/2023 15:28,s_010,experimental,adult,adult,mixed,5,There were 5 fish per treatment group,
30/01/2023 15:36,s_011,experimental,adult,adult,mixed,30,NA,
30/01/2023 15:45,s_012,experimental,adult,adult,mixed,20,There were 20 fish per treament group ,
30/01/2023 15:50,s_013,experimental,adult,adult,male,19.3,"Averaged across a series of behaviours: time spent in upper portion of the tank N = 24, Y-maze N= 14,  social interaction N=20",
30/01/2023 16:01,s_014,experimental,adult,adult,mixed,16,There were 16 fish per treatment group ,this study remains unclear whether adult behaviour was measured for both larvae and adult exposure 
13/02/2023 11:32,s_015,experimental,adult,adult,mixed,15,There were 120 fish across 8 treatment groups ,
30/01/2023 16:17,s_016,experimental,embryo,adult,not reported ,30,There were 30 fish per treatment group,
30/01/2023 16:37,s_017,experimental,embryo,adult,mixed,6,There were 6 fish per treatment group ,
31/01/2023 9:01,s_018,experimental,adult,adult,mixed,7,There were 7-8 fish per treatment group ,
31/01/2023 9:15,s_019,experimental,adult,adult,not reported ,5,There were 5 fish per treatment group,
31/01/2023 9:24,s_020,experimental,adult,adult,mixed,26.67,"Averaged across a series of concentration groups  N = 28, 23 and 29 ",
31/01/2023 9:39,s_021,experimental,adult,adult,male,6,There were 6 fish per treatment group ,
31/01/2023 9:46,s_022,experimental,larvae,"adolescent , adult",not reported ,22.5,"Averaged across a series of behaviours: adolescent habituation, novel tank exploration and shoaling behaviour N = 15-18, adult startle response, shoaling behaviour and predator avoidance N = 30-34",
31/01/2023 10:01,s_023,experimental,embryo,adult,mixed,11,"Averaged across a series of behaviours: habituation task N = 12 - 32, Novel tank dive test N = 2, learning test N = 19-32",
,s_024,experimental,adult,adult,mixed,11,There were 11-14 fish  in each treatment group ,
31/01/2023 10:08,s_025,experimental,adult,adult,mixed,26,There were 26-28 fish  in each treatment group ,
31/01/2023 10:20,s_026,experimental,adult,adult,not reported ,15,There were 5 fish per treatment group with three replicate tanks ,
31/01/2023 10:29,s_027,experimental,larvae,adult,not reported ,32,"Averaged across a series of behaviours: startle response control N=40, chlorpyrifos exposure N= 24",
31/01/2023 10:41,s_028,experimental,adult,adult,mixed,8,"Averaged between control N = 7, and exposure N = 9",
31/01/2023 10:49,s_029,experimental,adult,adult,male,20,There were 15 fish per treatment group,
31/01/2023 11:28,s_030,experimental,adult,adult,not reported ,15,There were 10 fish per treatment group,
31/01/2023 11:34,s_031,experimental,adult,adult,mixed,10,There were 20 fish per treatment group,
31/01/2023 11:40,s_032,experimental,adult,adult,mixed,5,NA,
31/01/2023 11:50,s_033,experimental,embryo,adult,female,40,There were 10 fish per treatment group with 4 replicate tanks ,
31/01/2023 13:22,s_034,experimental,adult,adult,not reported ,6,There were 6 fish per treatment group,
31/01/2023 13:38,s_035,experimental,adult,adult,mixed,16,There were 16 fish per treatment group,
01/02/2023 9:57,s_036,experimental,adult,adult,not reported ,not reported ,NA,
,s_037,experimental,adult,adult,mixed,96,There were 24 fish per treatment group with 4 replicate tanks ,
01/02/2023 10:13,s_038,experimental,adult,adult,not reported ,3,There were 3 fish per treatment group,
01/02/2023 10:29,s_039,experimental,adult,adult,not reported ,9,There were 3 fish per treatment group with 3 replicate tanks,
01/02/2023 10:40,s_040,experimental,adult,adult,mixed,10,NA,
01/02/2023 13:05,s_041,experimental,adult,adult,mixed,18.5,"Averaged between a series of behaviours: locomotion at 4 mg/L N = 22, exploratory behaviour at 4 and 6 mg/L N = 25",
01/02/2023 14:11,s_042,experimental,adult,adult,mixed,not reported ,NA,
01/02/2023 14:15,s_043,experimental,adult,adult,not reported ,3,There were 3 fish used per treatment group ,
01/02/2023 14:36,s_044,experimental,adult,adult,mixed ,33.8,Averaged across multiple behaviours provided in table 2,
,s_045,experimental,adult,adult,not reported ,not reported ,NA,
,s_046,experimental,"embryo, mother, grandmother",adult,both,8,There were 8-14 fish per treatment group ,
,s_047,experimental,juvenile,juvenile,not reported ,15,Th,
,s_048,experimental,juvenile,juvenile,not reported ,15,15 for each experimental group,
03/02/2023 13:52,s_049,experimental,juvenile,juvenile,not reported ,3,,
03/02/2023 14:05,s_050,experimental,adult,adult,not reported ,not reported ,,
03/02/2023 14:19,s_051,experimental,adult,adult,mixed,12,There were 12 fish per treatment group ,
,s_052,experimental,adult,adult,not reported ,3,NA,
,s_053,experimental,adult,adult,not reported ,18,There were 18 fish per treatment group ,
06/02/2023 13:59,s_054,experimental,embryo,adult,mixed,24,There were 8 fish per treatment group with 3 replicate tanks ,
07/02/2023 9:24,s_055,experimental,adult,adult,mixed,5,There were 5 fish per treatment group,
07/02/2023 9:38,s_056,experimental,embryo,adult,male,40,There were 40 fish in each treatment group,
07/02/2023 9:42,s_057,experimental,"juvenile, adult","juvenile, adult",mixed,15,There were 15 fish per treatment group,
,s_058,experimental,adult,adult,not reported ,not reported ,,
07/02/2023 9:57,s_059,experimental,adult,adult,not reported ,21,There were 7 fish per treatment group with 3 replicate tanks,
07/02/2023 10:13,s_060,experimental,adult,adult,female,not reported,,
07/02/2023 10:20,s_061,experimental,adult,adult,not reported ,5,There were 5 fish per treatment group,
07/02/2023 10:29,s_062,experimental,adult,adult,female,18,There were 18 fish per treatment group,
,s_063,experimental,adult,adult,not reported ,15,There were 15 fish per treatment group,
07/02/2023 11:01,s_064,experimental,adult,adult,mixed,8,There were 8 fish per treatment group,
07/02/2023 11:08,s_065,experimental,adult,adult,mixed,8,There were 8 fish per treatment group,
07/02/2023 11:14,s_066,experimental,adult,adult,not reported ,3,There was one fish per treatment group with 3 replicate tanks,
07/02/2023 11:24,s_067,experimental,embryo,adult,not reported ,11.3,"Averaged across a series of concentration groups: control N = 12, CPF 10 N = 15, CPF 100 N = 7",
07/02/2023 11:31,s_068,experimental,adult,adult,mixed,5,states from 5-9 fish per condition but unsure which condition is which sample size ,
07/02/2023 11:37,s_069,experimental,adult,adult,male,8,,
,s_070,experimental,adult,adult,not reported ,10, each concentration used had 10 individuals ,
07/02/2023 11:45,s_071,experimental,adult,adult,mixed,22,"differes between behaviours: novel tank test N = 21, light-dark test N=20, mirror-induced aggression test n=25. ",
07/02/2023 11:52,s_072,experimental,adult,adult,not reported ,6,per exposure group,
07/02/2023 11:57,s_073,experimental,adult,adult,not reported ,not reported ,,
08/02/2023 9:44,s_074,experimental,adult,adult,female ,7.33,30 fish in 4 groups ,
08/02/2023 9:52,s_075,experimental,adult,adult,not reported ,not reported ,40 fish used in total but it is not clear how many were used for each exposure,
08/02/2023 10:08,s_076,experimental,adult,adult,not reported ,not reported ,,
08/02/2023 10:31,s_077,experimental,adult,adult,mixed,40, 20 per aquarium completed in duplicate ,
08/02/2023 10:40,s_078,experimental,adult,adult,mixed,10,10 individuals per exposure group ,
08/02/2023 10:50,s_079,experimental,adult,adult,mixed,6,states 6 across 7 tanks but there is only 5 exposure concentrations including control,
08/02/2023 13:03,s_080,experimental,adult,adult,male,9,9 per treatment group ,
,s_081,experimental,adult,adult,not reported ,not reported ,,
,s_082,experimental,adult,adult,mixed,6,,
,s_083,experimental,juvenile,juvenile,not reported ,not reported ,,
