"","key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","doi","keywords","pubmed_id","pmc_id"
"1","rayyan-344223871","Fipronil and 2,4-D effects on tropical fish: Could avoidance response be explained by changes in swimming behavior and neurotransmission impairments?",2021,1,NA,"CHEMOSPHERE","0045-6535",263,NA,"","Aparecida Moreira, Raquel and Araujo, Cristiano V. M. and da Silva Pinto, Th and y Junio and Menezes da Silva, Lais Conceicao and Veloso Goulart, Bianca and Prudencio Viana, Natalia and Carolina Montagner, Cassiana and Narciso Fern and es, Marisa and Gaeta Espindola, Evaldo Luiz","","","",NA,"Brazil is the largest producer of sugarcane, a crop largely dependent on chemical control for its maintenance. The insecticide fipronil and herbicide 2,4-D stand out among the most commonly used pesticides and, therefore, environmental consequences are a matter of concern. The present study aimed to investigate the toxicity mechanisms of Regent (R) 800 WG (a.i. fipronil) and DMA (R) 806 BR (a.i. 2,4-D) pesticides using forced and non-forced exposures through an integrative approach: firstly, to assess whether contamination by fipronil and 2,4-D can trigger the avoidance behavior of the fish Danio rerio (zebrafish) and Hyphessobrycon eques (serpae tetra or mato-grosso). Additionally, the effects on fish were analyzed considering the swimming behavior together with a biomarker of neurotoxicity, the activity of acetylcholinesterase (AChE). In avoidance tests with pesticide gradients, D. rerio avoided the highest concentrations of the two compounds and H. eques avoided only the highest concentration of 2,4-D. The swimming behavior (distance moved) was reduced and AChE was inhibited when D. rerio was exposed to fipronil. The 2,4-D affected the swimming (maximum speed) of H. eques, but AChE was not altered.Avoidance response seemed not to have been affected by possible effects of contaminants on swimming behavior and Ache activity. This study showed the importance of knowing the avoidance capacity, swimming behavior and neurotoxic effects of pesticides on fish in an integrated and realistic context of exposure in environments contaminated with pesticides and can be useful as ecologically relevant tools for ecological risk assessment. (C) 2020 Elsevier Ltd. All rights reserved.","","10.1016/j.chemosphere.2020.127972","Synaptic Transmission",NA,NA
"2","rayyan-344223872","Propiconazole induces abnormal behavior and oxidative stress in zebrafish",2019,9,NA,"ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","0944-1344",26,27,"27808-27815","Valadas, Jessica and Mocelin, Ricieri and Sachett, Adrieli and Marcon, Matheus and Zanette, Regis A. and Dallegrave, Eliane and Herrmann, Ana P. and Piato, Angelo","","","",NA,"The use of pesticides has been growing along with the demand for agricultural products. These compounds, however, are not restricted to the field, spreading easily through the soil, contaminating groundwater and reaching urban centers. Propiconazole is a triazole fungicide that has been increasingly used in agriculture. However, there are few data about its effects on non-target organisms. This study aimed to evaluate the effects of propiconazole in zebrafish. The animals were exposed for 96 h to different concentrations of propiconazole (425, 850, 1700, 8500 ng/L), then submitted to the novel tank test for behavioral analyses. The brains were collected for evaluation of oxidative stress parameters. Exposure to propiconazole (1700 and 8500 ng/L) decreased the number of crossings, entries, and time spent in the top, and increased the time spent in the bottom area of the tank. We also observed an increase in the activities of superoxide dismutase and catalase in zebrafish brain exposed to propiconazole at 425, 850, and 1700 ng/L. We conclude that propiconazole alters normal fish behavior and disrupts oxidative status. More studies are necessary to elucidate the exact mechanism underlying the effects of propiconazole on non-target-organisms.","","10.1007/s11356-019-05977-3","Oxidative Stress",NA,NA
"3","rayyan-344223873","Sublethal effects of propiconazole on the metabolism of lambari Deuterodon iguape (Eigenmann 1907), a native species from Brazil",2021,8,NA,"FISH PHYSIOLOGY AND BIOCHEMISTRY","0920-1742",47,4,"1165-1177","Henriques, Marcelo Barbosa and Rezende, Karina Fern and es Oliveira and Castilho-Barros, Leonardo and Barbieri, Edison","","","",NA,"The objective of this study was to analyze the sublethal effects of propiconazole on Deuterodon iguape, a native fish common in Brazil, which has potential for aquaculture and use as a bioindicator. The hypothesis was to test whether D. iguape has a metabolism similar to Danio rerio so that its use in bioassays may be validated. Lethal concentration (LC50) and metabolic rates were studied in fish exposed to propiconazole. Specific oxygen consumption and ammonia excretion for D. iguape and D. rerio increased by 0.01 mu g L-1 and then decreased as the propiconazole concentration increased. The decrease in the averages of specific oxygen consumption at the concentration of 0.1 mu g L-1 represented a reduction in the metabolic rate compared to the control of 71\% for D. iguape and 40\% D. rerio. For the ammonia excretion, at the same concentration, there was a reduction of 68.7\% and 45.4\% for D. iguape and D. rerio, respectively. When comparing ammonia excretion of the two species for each concentration of propiconazole, there was a significant difference (p < 0.05) in relation to the control and for the highest concentration (0.1 mu g L-1). As for specific oxygen consumption, there was a statistically significant difference only for the concentration of 0.1 mu g L-1. D. iguape proved to be a good and useful bioindicator for ichthyologists or ecologists in studies of moderate pesticide contamination in freshwater aquatic environments, as its metabolic response was similar to D. rerio.","","10.1007/s10695-021-00968-z","Brazil",NA,NA
"4","rayyan-344223874","{DDT} exposure of zebrafish embryos enhances seizure susceptibility: relationship to fetal p,p'-{DDE} burden and domoic acid exposure of {California} sea lions.",2009,1,NA,"ENVIRONMENTAL HEALTH PERSPECTIVES","0091-6765 1552-9924",117,1,"68--73","Tiedeken, Jessica A. and Ramsdell, John S.","","eng","",NA,"BACKGROUND: California sea lions have a large body burden of organochlorine pesticides, and over the last decade they have also been subject to domoic acid  poisoning. Domoic acid poisoning, previously recognized in adult animals, is now  viewed as a major cause of prenatal mortality. The appearance of a chronic  juvenile domoic acid disease in the sea lions, characterized by behavioral  abnormalities and epilepsy, is consistent with early life poisoning and may be  potentiated by organochlorine burden. OBJECTIVE: We investigated the interactive  effect of DDT (dichlorodiphenyltrichloroethane) on neurodevelopment using a  zebrafish (Danio rerio) model for seizure behavior to examine the susceptibility  to domoic acid-induced seizures after completion of neurodevelopment. METHODS:  Embryos were exposed (6-30 hr postfertilization) to either o,p'-DDT or p,p'-DDE  (dichlorodiphenyldichloroethylene) during neurodevelopment via a 0.1\% dimethyl  sulfoxide solution. These larval (7 days postfertilization) fish were then  exposed to either the seizure-inducing drug pentylenetetrazol (PTZ) or domoic  acid; resulting seizure behavior was monitored and analyzed for changes using  cameras and behavioral tracking software. RESULTS: Embryonic exposure to DDTs  enhanced PTZ seizures and caused distinct and increased seizure behaviors to  domoic acid, most notably a type of head-shaking behavior. CONCLUSION: These  studies demonstrate that embryonic exposure to DDTs leads to asymptomatic animals  at completion of neurodevelopment with greater sensitivity to domoic acid-induced  seizures. The body burden levels of p,p'-DDE are close to the range recently  found in fetal California sea lions and suggest a potential interactive effect of  p,p'-DDE embryonic poisoning and domoic acid toxicity.","","10.1289/ehp.11685","DDT;Animals;Danio rerio;California;zebrafish;Body Burden;domoic acid;Sea Lions;DDT/pharmacokinetics/*toxicity;*Environmental Exposure;Zebrafish/*embryology;Dichlorodiphenyl Dichloroethylene/*pharmacokinetics;Fetus/*metabolism;Kainic Acid/*analogs \& derivatives/pharmacokinetics/toxicity;seizures;Seizures/*chemically induced;Seizures",NA,NA
"5","rayyan-344223875","Do you smell the danger? Effects of three commonly used pesticides on the olfactory-mediated antipredator response of zebrafish (Danio rerio)",2020,2,NA,"CHEMOSPHERE","0045-6535",241,NA,"","Volz, Sina N. and Hausen, Jonas and Smith, Kilian and Ottermanns, Richard and Schaeffer, Andreas and Schiwy, Sabrina and Hollert, Henner","","","",NA,"Fish are warned about the presence of predators via an alarm cue released from the skin of injured conspecifics. The detection of this odor inherently initiates an antipredator response, which increases the chance of survival for the individual. In the present study, we assessed the effect of three commonly used pesticides on the antipredator response of zebrafish (Danio rerio). For this, we analyzed the behavioral response of zebrafish to a conspecific skin extract following 24 h of exposure to the respective contaminants. Results demonstrate that fish exposed to 20 mu g/L. of the organophosphate insecticide chlorpyrifos significantly reduced bottom-dwelling and freezing behavior, suggesting an impairment of the antipredator response. For the urea-herbicide linuron and the pyrethroid insecticide permethrin, no statistically significant effects could be detected. However, linuron-exposed fish appeared to respond in an altered manner to the skin extract; some individuals failed to perform the inherent behaviors such as erratic movements and instead merely increased their velocity. Furthermore, we determined whether zebrafish would avoid the pesticides in a choice maze. While fish avoided permethrin, they behaved indifferently to chlorpyrifos and linuron. The study demonstrates that pesticides may alter the olfactory-mediated antipredator response of zebrafish in distinct ways, revealing that particularly fish exposed to chlorpyrifos may be more prone to predation. (C) 2019 Elsevier Ltd. All rights reserved.","","10.1016/j.chemosphere.2019.124963","Pesticides;Smell",NA,NA
"6","rayyan-344223876","Synergistic effects caused by atrazine and terbuthylazine on chlorpyrifos toxicity to early-life stages of the zebrafish Danio rerio",2013,7,NA,"ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","0944-1344",20,7,"4671-4680","Perez, Joanne and Domingues, Ines and Monteiro, Marta and Soares, Amadeu M. V. M. and Loureiro, Susana","","","",NA,"This study examined the effects of three widely used pesticides that have been previously detected in aquatic systems neighbouring agricultural fields on the early-life stages of the zebrafish Danio rerio. Tests involving single exposures and binary combinations of the s-triazine herbicides (atrazine and terbuthylazine) and the organophosphate insecticide chlorpyrifos were performed. Several endpoints, such as swimming behaviour, morphological abnormalities and mortality, were studied. In addition, the inhibition of acetylcholinesterase (AChE) activity was investigated in order to evaluate the mode of action and toxicity of chlorpyrifos in the presence of these herbicides. Results indicate that both binary mixtures elicited synergistic responses on the swimming behaviour of zebrafish larvae. Moreover, although the herbicides were not effective inhibitors of the AChE on their own, a synergistic inhibition of the enzyme activity was obtained by exposure to mixtures with chlorpyrifos. We observed a correlation between impairment of swimming behaviour of the larvae and inhibition of AChE activity. This study supports previous studies concerning the risk assessment of mixtures since the toxicity may be underestimated when looking only at the single toxicants and not their mixtures.","","10.1007/s11356-012-1443-6","",NA,NA
"7","rayyan-344223877","Glyphosate- and Fipronil-Based Agrochemicals and Their Mixtures Change Zebrafish Behavior",2019,10,NA,"ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","0090-4341",77,3,"443-451","Chaulet, Fabiele da Costa and de Alcantara Barcellos, Heloisa Helena and Fior, Debora and Pompermaier, Aline and Koakoski, Gessi and Santos da Rosa, Joao Gabriel and Fagundes, Michele and Gil Barcellos, Leonardo Jose","","","",NA,"Environmental contamination caused by the human occupancy and economic activities that generate a wide range of contaminated effluents that reach natural water resources, is a current reality. Residues of agrichemicals used in plant production were detected in different environments and in different countries. Among these agrochemicals, we studied a glyphosate-based herbicide (GBH), a fipronil-based insecticide (FBI), and their mixtures (GBH + FBI). Zebrafish exposed to 3 and 5 mg/L of GBH spend more time in the top zone and less time in the bottom zone. Fish exposed to 0.009 and 0.018 mg/L of FBI spent less time in the bottom zone, whereas zebrafish exposed to the three GBH + FBI mixtures spend more time in the top zone compared with unexposed control fish. This clear anxiolytic pattern, in an environmental context, can directly impair the ability of fish to avoid or evade predators. We concluded that both glyphosate-based herbicide and fipronil-based insecticide and their mixtures alter zebrafish behavior, which may result in significant repercussions on the maintenance of the species as well as on the food chain and the ecosystem.","","10.1007/s00244-019-00644-7","",NA,NA
"8","rayyan-344223878","Comparative Lipid Peroxidation and Apoptosis in Embryo-Larval Zebrafish Exposed to 3 Azole Fungicides, Tebuconazole, Propiconazole, and Myclobutanil, at Environmentally Relevant Concentrations",2019,7,NA,"ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","0730-7268",38,7,"1455-1466","Kumar, N. and Awoyemi, O. and Willis, A. and Schmitt, C. and Ramalingam, L. and Moustaid-Moussa, N. and Crago, J.","","","",NA,"Azole fungicides have entered the aquatic environment through agricultural and residential runoff. In the present study, we compared the off-target toxicity of tebuconazole, propiconazole, and myclobutanil using embryo-larval zebrafish as a model. The aim of the present study was to investigate the relative toxicity of tebuconazole, propiconazole, and myclobutanil using multiple-level endpoints such as behavioral endpoints and enzymatic and molecular biomarkers associated with their mode of action. Zebrafish embryos were exposed to azoles at environmentally relevant and high concentrations, 0.3, 1.0, and 1000 mu g/L, starting at 5 h postfertilization (hpf) up to 48 hpf, as well as 5 d postfertilization (dpf). Relative mRNA expressions of cytochrome P450 family 51 lanosterol-14 alpha-demethylase, glutathione S-transferase, caspase 9, phosphoprotein p53, and BCL2-associated X protein were measured to assess toxicity attributable to fungicides at the mRNA level, whereas caspase 3/7 (apoptosis) and 3,4-methylene dioxy amphetamine (lipid peroxidation) levels were measured at the enzymatic level. Furthermore, mitochondrial dysfunction was measure through the Mito Stress test using the Seahorse XFe24 at 48 hpf. In addition, light to dark movement behavior was monitored at 5 dpf using Danio Vision (R) to understand adverse effects at the organismal level. There was no significant difference in the light to dark behavior with exposure to azoles compared to controls. The molecular biomarkers indicated that propiconazole and myclobutanil induced lipid peroxidation, oxidative stress, and potentially apoptosis at environmentally relevant concentrations (0.3 and 1 mu g/L). The results from the mitochondrial respiration assay indicated a slight decrease in spare respiratory capacity with an acute exposure (48 hpf) to all 3 azoles at 1000 mu g/L. Based on the present results, propiconazole and myclobutanil are acutely toxic compared to tebuconazole in aquatic organisms at environmentally relevant concentrations. Environ Toxicol Chem 2019;38:1455-1466. (c) 2019 SETAC","","10.1002/etc.4429","Apoptosis;Lipid Peroxides;Lipid Peroxidation;Danazol",NA,NA
"9","rayyan-344223879","Behavioral, molecular and physiological responses of embryo-larval zebrafish exposed to types I and II pyrethroids",2019,3,NA,"CHEMOSPHERE","0045-6535",219,NA,"526-537","Awoyemi, Olushola M. and Kumar, Naveen and Schmitt, Cass and ra and Subbiah, Seenivasan and Crago, Jordan","","","",NA,"Pyrethroids are potent neurotoxicants that may elicit multiple pathways of toxicity in non-target organisms. Comparative studies on the mechanistic and developmental effects of types I and II pyrethroids against non-target aquatic species are limited. This study assessed the effects of the two pyrethroid types against embryo-larval zebrafish (Danio rerio) at environmentally relevant and laboratory concentrations. Zebrafish embryos were exposed to type-I (permethrin, bifenthrin) and type-II(deltamethrin, lambda-cyhalothrin, fenvalerate, esfenvalerate) pyrethroids at 1000,10, 0.1, 0.01, 0.0 mu g/L, starting at 5-h post-fertilization (hpf) through 5-d post-fertilization (dpf) under static exposure conditions. Swimming behavior (distance traveled and velocity) was assessed at 5-dpf. The relative expression of Nrf2a, GST, Casp-9 and p53 mRNA transcripts, carboxyl esterase (CES) activity and total reactive oxygen species (ROS) were measured. The stability of the pyrethroids across 5 days was analyzed. Bifenthrin-(10 mu g/L) and esfenvalerate-(1000 mu g/L) significantly (p < 0.05) reduced total distance traveled by larvae while 1000 mu g/L deltamethrin and lambda-cyhalothrin were lethal causing body axis curvature and pericardial edema. At environmentally relevant concentrations-(mu g/L) compared to control, permethrin-(0.122) upregulated Nrf2a and Casp-9 expressions while lambda-cyhalothrin-(0.053) downregulated Nrf2a and fenvalerate-0.037 downregulated GST. At laboratory concentrations-(mu g/L), permethrin-(1000) upregulated Nrf2a, Casp-9 and p53 expressions, bifenthrin-(10) upregulated Casp-9 while fenvalerate-(0.1) and esfenvalerate-(1000) downregulated GST. There was concentration dependent increase in CES activity which correlated positively with total ROS. Pyrethroid concentrations decreased significantly by day 5. This study showed disparity in the mechanistic effects across the pyrethroids types and their instability in aqueous media may underestimate toxicity against non-target aquatic species when exposed in their natural environment. (C) 2018 Elsevier Ltd. All rights reserved.","","10.1016/j.chemosphere.2018.12.026","",NA,NA
"10","rayyan-344223880","The toxic effects of deltamethrin on Danio rerio: the correlation among behavior response, physiological damage and AChE",2016,NA,NA,"RSC ADVANCES","",6,111,"109826-109833","Zhang, Xu and Yang, Huanhuan and Ren, Zongming and Cuib, Zhaojie","","","",NA,"Pyrethroid pesticides constitute one of the main types of pesticides in the domestic market. Deltamethrin, one of the typically used pyrethroid pesticides, has high insecticidal activity, and a wide insecticidal spectrum, and is widely used in agricultural production and other activities. A previous study showed deltamethrin to have obvious toxic effects on zooplankton, fish and other aquatic organisms. In the current work, we used fish of the model organism Danio rerio to comprehensively evaluate the effects of deltamethrin on their behavior, physiology and acetylcholinesterase (AChE) activity. During the initial reaction of the fish to the presence of deltamethrin, their behaviors were found to change with the drug concentration, which directly showed the toxic effect of this pesticide on the fish. The AChE activity of the fish showed a response similar to that of their behavior. Moreover, deltamethrin caused significant damage to their gills and liver. However, being major organs of Danio rerio, the gills and liver showed a different response pattern than did the behavior of the fish.","","10.1039/c6ra23990k","",NA,NA
